copy,copy,copy,copy,copy,copy,copy,copy
0.2,_______________
0.2,META_DATA_START
117.0,cycle-0-current-0.4-speed-60-trial-9-up-end,0.4,60.0,1.0,1.0,True,PASS
119.0,cycle-0-current-0.4-speed-70-trial-0-down-start,0.4,70.0,1.0,1.0,True,PASS
122.1,cycle-0-current-0.4-speed-70-trial-0-down-end,0.4,70.0,76.5,76.5,True,PASS
123.9,cycle-0-current-0.4-speed-70-trial-0-up-start,0.4,70.0,76.5,76.5,True,PASS
127.0,cycle-0-current-0.4-speed-70-trial-0-up-end,0.4,70.0,1.0,1.0,True,PASS
129.0,cycle-0-current-0.4-speed-70-trial-1-down-start,0.4,70.0,1.0,1.0,True,PASS
132.1,cycle-0-current-0.4-speed-70-trial-1-down-end,0.4,70.0,76.5,76.5,True,PASS
133.9,cycle-0-current-0.4-speed-70-trial-1-up-start,0.4,70.0,76.5,76.5,True,PASS
137.0,cycle-0-current-0.4-speed-70-trial-1-up-end,0.4,70.0,1.0,1.0,True,PASS
138.9,cycle-0-current-0.4-speed-70-trial-2-down-start,0.4,70.0,1.0,1.0,True,PASS
142.1,cycle-0-current-0.4-speed-70-trial-2-down-end,0.4,70.0,76.5,76.5,True,PASS
143.9,cycle-0-current-0.4-speed-70-trial-2-up-start,0.4,70.0,76.5,76.5,True,PASS
147.0,cycle-0-current-0.4-speed-70-trial-2-up-end,0.4,70.0,1.0,1.0,True,PASS
149.0,cycle-0-current-0.4-speed-70-trial-3-down-start,0.4,70.0,1.0,1.0,True,PASS
152.1,cycle-0-current-0.4-speed-70-trial-3-down-end,0.4,70.0,76.5,76.5,True,PASS
153.9,cycle-0-current-0.4-speed-70-trial-3-up-start,0.4,70.0,76.5,76.5,True,PASS
157.0,cycle-0-current-0.4-speed-70-trial-3-up-end,0.4,70.0,1.0,1.0,True,PASS
159.0,cycle-0-current-0.4-speed-70-trial-4-down-start,0.4,70.0,1.0,1.0,True,PASS
162.1,cycle-0-current-0.4-speed-70-trial-4-down-end,0.4,70.0,76.5,76.5,True,PASS
163.9,cycle-0-current-0.4-speed-70-trial-4-up-start,0.4,70.0,76.5,76.5,True,PASS
167.0,cycle-0-current-0.4-speed-70-trial-4-up-end,0.4,70.0,1.0,1.0,True,PASS
169.0,cycle-0-current-0.4-speed-70-trial-5-down-start,0.4,70.0,1.0,1.0,True,PASS
172.1,cycle-0-current-0.4-speed-70-trial-5-down-end,0.4,70.0,76.5,76.5,True,PASS
173.9,cycle-0-current-0.4-speed-70-trial-5-up-start,0.4,70.0,76.5,76.5,True,PASS
177.0,cycle-0-current-0.4-speed-70-trial-5-up-end,0.4,70.0,1.0,1.0,True,PASS
179.0,cycle-0-current-0.4-speed-70-trial-6-down-start,0.4,70.0,1.0,1.0,True,PASS
182.1,cycle-0-current-0.4-speed-70-trial-6-down-end,0.4,70.0,76.5,76.5,True,PASS
184.0,cycle-0-current-0.4-speed-70-trial-6-up-start,0.4,70.0,76.5,76.5,True,PASS
187.1,cycle-0-current-0.4-speed-70-trial-6-up-end,0.4,70.0,1.0,1.0,True,PASS
189.0,cycle-0-current-0.4-speed-70-trial-7-down-start,0.4,70.0,1.0,1.0,True,PASS
192.1,cycle-0-current-0.4-speed-70-trial-7-down-end,0.4,70.0,76.5,76.5,True,PASS
