0,-------,---,---,---,---,---,---,---,---
4366.57,insert,2494.6,2.07E+03,2372.12,2320.53,2348.36,2059.43,1859.69,2445.19
4366.85,insert,2493.83,2068.83,2371.25,2320.17,2347.88,2.06E+03,1859.69,2443.61
4367.12,insert,2493.48,2067.97,2370.86,2319.47,2347.06,2054.23,1859.23,2443.61
4367.39,insert,2493.48,2067.97,2370.43,2318.84,2346.82,2.05E+03,1858.51,2441.82
4367.66,insert,2493.07,2067.88,2370.43,2318.45,2346.38,2049.3,1858.18,2440.49
4367.93,insert,2492.64,2067.2,2369.96,2318.45,2345.74,2047.15,1857.62,2439.02
4368.2,insert,2492.11,2066.73,2369.36,2318.14,2345.74,2047.15,1857.36,2437.21
4371.76,holding,2208.46,1836.33,2088.82,2035.32,2063.38,1745.77,1629.87,2142.38
4372.03,holding,2207.97,1836,2088.35,2034.98,2063.21,1745.77,1629.87,2140.94
4372.3,holding,2208.07,1835.85,2087.98,2034.54,2062.84,1743.72,1629.39,2140.94
4372.57,holding,2208.07,1.84E+03,2087.87,2034.31,2062.48,1.74E+03,1628.76,2139.91
4372.84,holding,2207.58,1.84E+03,2087.87,2034.16,2062.38,1.74E+03,1628.68,2138.48
4373.12,holding,2207.32,1834.77,2087.32,2034.16,2062.08,1.74E+03,1628.17,2137.29
4373.39,holding,2207.08,1834.63,2086.95,2033.72,2062.08,1.74E+03,1627.89,2136.36
4373.66,holding,2206.5,1833.88,2086.85,2033.56,2061.72,1.74E+03,1627.89,2135.2
4373.93,holding,2206.54,1833.88,2086.77,2033.12,2061.31,1733.63,1627.54,2135.2
4374.2,holding,2206.54,1833.88,2086.23,2033,2061.01,1731.8,1627.22,2133.67
4374.47,holding,2205.97,1833.55,2086.23,2032.67,2060.66,1729.85,1626.9,2132.45
4374.75,holding,2205.85,1833.04,2085.62,2032.67,2060.44,1727.86,1626.53,2130.81
4375.02,holding,2205.7,1832.91,2085.52,2032.13,2060.44,1727.86,1626.24,2129.9
4375.29,holding,2205.44,1832.53,2085.19,2032.07,2060.04,1.73E+03,1626.24,2128.58
4375.56,holding,2204.94,1831.86,2084.93,2031.53,2059.91,1723.68,1625.95,2128.58
4375.83,holding,2204.94,1831.86,2084.85,2031.68,2059.46,1721.82,1625.66,2127.61
4376.1,holding,2204.57,1831.81,2084.85,2030.96,2059.3,1719.68,1625.44,2125.95
4376.38,holding,2204.55,1831.33,2084.48,2030.96,2059.3,1.72E+03,1624.83,2125.06
4376.65,holding,2203.99,1830.6,2084.22,2030.76,2058.79,1717.72,1624.73,2123.23
4376.92,holding,2203.86,1830.37,2083.84,2030.52,2058.54,1.72E+03,1624.73,2122.33
4377.19,holding,2203.86,1830.03,2083.24,2030.02,2058.48,1.71E+03,1624.43,2122.33
4377.46,holding,2203.54,1830.03,2083.07,2030.07,2058.14,1.71E+03,1624.07,2120.53
4377.73,holding,2203.19,1829.91,2083.07,2029.34,2057.64,1.71E+03,1623.43,2119.48
4378.01,holding,2202.91,1829.45,2082.62,2029.34,2057.64,1707.94,1623.53,2118.28
4378.28,holding,2202.5,1829.21,2082.28,2029.13,2057.22,1707.94,1622.98,2117.2
4378.55,holding,2202.5,1828.64,2081.98,2028.78,2056.93,1705.62,1622.98,2117.2
4378.82,holding,2202.5,1827.97,2081.5,2028.43,2056.9,1.70E+03,1622.36,2115.88
4379.09,holding,2201.95,1827.97,2081.34,2028.36,2056.18,1.70E+03,1622.09,2114.85
4379.36,holding,2201.27,1828.28,2081.34,2028.36,2055.97,1.70E+03,1622.1,2113.15
4379.63,holding,2201.29,1827.78,2080.76,2027.41,2055.97,1697.37,1621.45,2111.89
4379.9,holding,2200.72,1827.07,2080.6,2027.18,2055.75,1.70E+03,1621.27,2110.81
4380.18,holding,2200.64,1826.48,2080.08,2027.2,2055.51,1695.73,1621.27,2110.81
4380.45,holding,2200.64,1826.15,2079.61,2026.52,2054.88,1.69E+03,1621.08,2109.11
4380.72,holding,2199.79,1826.15,2079.39,2026.17,2054.5,1.69E+03,1620.74,2108.4
4380.99,holding,2199.44,1825.8,2079.39,2026.17,2054.08,1689.73,1620.55,2106.95
4381.26,holding,2199.26,1825.47,2079.09,2025.75,2054.08,1.69E+03,1620.08,2105.88
4381.53,holding,2199.05,1824.92,2078.56,2025.67,2054.02,1687.76,1620.08,2104.5
4381.8,holding,2198.48,1824.9,2078.28,2025.43,2053.75,1.69E+03,1619.85,2104.5
4382.07,holding,2198.48,1824.42,2077.87,2025.02,2053.31,1.68E+03,1619.27,2103.15
